cluster_name	safe_cluster_id	representative_id	ko	trusted_hit	score	evalue	threshold	kofamscan_definition	ko_definition	module_ids	module_names	pathway_ids	pathway_names	brite_A_id	brite_A_name	brite_B_id	brite_B_name	brite_C_id	brite_C_name	brite_ko_entry	pfam_target_name	pfam_accession	pfam_full_evalue	pfam_full_score	pfam_domain_i_evalue	pfam_domain_score	pfam_description	HAY1-4A	KNZ1-1G	KNZ1-1H	KNZ1-4G	KNZ1-6H	KNZ1-9H	KNZ12-10F	KNZ12-12B	KNZ12-1A	KNZ12-1B	KNZ12-6F	KNZ12-7H	KNZ13-10G	KNZ13-1A	KNZ13-6D	KNZ14-11B	KNZ14-9G	KNZ2-12A	KNZ2-1B	KNZ2-1C	KNZ2-3D	KNZ2-4C	KNZ2-5A	KNZ2-5C	KNZ2-5D	KNZ2-6B	KNZ2-6D	KNZ2-7A	KNZ2-8B	KNZ2-8D	KNZ2-9B	SVR3-12F	SVR3-5F	SVR3-6C	SVR3-7D	SVR3-7F	SVR3-8D	SVR3-8G	SVR3-9D	SVR3-9F	SVR3-9G	SVR3-9H	SVR4-10G	SVR4-12F	SVR4-1A	SVR4-1E	SVR4-7E	SVR4-9A	SVR4-9G	SVR5-10A	SVR5-11B	SVR5-12D	SVR5-12G	SVR5-1A	SVR5-1B	SVR5-1H	SVR5-2B	SVR5-3A	SVR5-3C	SVR5-3E	SVR5-4F	SVR5-5G	SVR5-9B	SVR6-10C	SVR6-10D	SVR6-11A	SVR6-11D	SVR6-7A	SVR6-8A	SVR6-9D	TLI6-10H	TLI6-11F	TLI6-1G	TLI6-3F	TLI6-4A	TLI6-5F	TLI6-5H	TLI6-8H	TLI6-IE	TLI7-5F	TLI7-6A	TLI7-7B	TLI7-7G	TLI8-10B	TLI8-4H	TLI8-6C	TLI8-7A	TLI8-8A	TLI8-8F	TLI8-9D	TLI8-9H	TLI9-11B	TLI9-11C	TLI9-12B	TLI9-1C	TLI9-3A
ltaE	cluster_004035	SVR312F_05705	K01620	yes	472.7	1.20E-141	95.87	threonine aldolase [EC:4.1.2.48]	ltaE; threonine aldolase [EC:4.1.2.48]			map00260; ko00260; map01100; ko01100; map01110; ko01110; map01120; ko01120; map01230; ko01230	"map00260: Glycine, serine and threonine metabolism; ko00260; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01120: Microbial metabolism in diverse environments; ko01120; map01230: Biosynthesis of amino acids; ko01230"	9100	Metabolism	9105	Amino acid metabolism	ko00260	"Glycine, serine and threonine metabolism"	ltaE; threonine aldolase [EC:4.1.2.48]	Beta_elim_lyase	PF01212.28	8.10E-101	337.7	1.10E-100	337.3	Beta-eliminating lyase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1496	cluster_003896	SVR37D_17005	K11066	yes	294.8	7.70E-88	174.93	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	amiD; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]					9180	Brite Hierarchies	9181	Protein families: metabolism	1011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	amiD; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	Amidase_2	PF01510.31	7.50E-35	120.7	1.20E-34	120	N-acetylmuramoyl-L-alanine amidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1497	cluster_004014	SVR37D_16975	K07799	yes	461.8	1.60E-138	348.7	"membrane fusion protein, multidrug efflux system"	"mdtA; membrane fusion protein, multidrug efflux system"			map02020; ko02020	map02020: Two-component system; ko02020	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	"mdtA; membrane fusion protein, multidrug efflux system"	Beta-barrel_RND	PF25944.1	1.90E-21	76.9	4.90E-19	69.1	"RND MFPs, beta-barrel domain"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1498	cluster_004296	SVR312F_05870	K03269	yes	87.9	4.00E-25	68.83	"UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"	"lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"	M00060; M00866	"M00060: KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type; M00866: KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type"	map00540; ko00540; map01100; ko01100	map00540: Lipopolysaccharide biosynthesis; ko00540; map01100: Metabolic pathways; ko01100	9180	Brite Hierarchies	9181	Protein families: metabolism	1005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	"lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"	Metallophos	PF00149.34	2.00E-06	29	4.30E-06	27.9	Calcineurin-like phosphoesterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1499	cluster_004337	SVR312F_05900	K07729	yes	92.9	1.70E-26	60.33	putative transcriptional regulator	K07729; putative transcriptional regulator					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3000	Transcription factors [BR:ko03000]	K07729; putative transcriptional regulator	HTH_3	PF01381.29	2.70E-16	59.9	2.90E-16	59.8	Helix-turn-helix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1500	cluster_003888	SVR312F_05920	K16091	no	286.9	2.00E-85	348.93	Fe(3+) dicitrate transport protein	fecA; Fe(3+) dicitrate transport protein					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	fecA; Fe(3+) dicitrate transport protein	TonB_dep_Rec_b-barrel	PF00593.31	1.60E-48	167.3	1.60E-48	167.3	"TonB dependent receptor-like, beta-barrel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-arabinose-binding periplasmic protein	cluster_004184	SVR312F_05965	K10537	yes	475.6	4.90E-143	222.23	L-arabinose transport system substrate-binding protein	araF; L-arabinose transport system substrate-binding protein			map02010; ko02010	map02010: ABC transporters; ko02010	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	araF; L-arabinose transport system substrate-binding protein	Peripla_BP_1	PF00532.28	5.90E-47	161.1	7.00E-47	160.8	Periplasmic binding proteins and sugar binding domain of LacI family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1502	cluster_004050	SVR312F_05970	K00883	yes	190.6	3.30E-56	44.53	2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	M00552	"M00552: Galactonate degradation, De Ley-Doudoroff pathway, galactonate => glycerate-3P"	map00052; ko00052; map01100; ko01100	map00052: Galactose metabolism; ko00052; map01100: Metabolic pathways; ko01100	9100	Metabolism	9101	Carbohydrate metabolism	ko00052	Galactose metabolism	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	DGOK	PF05035.18	3.10E-39	135.3	3.70E-39	135	2-keto-3-deoxy-galactonokinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1503	cluster_003977	SVR312F_05975	K03566	yes	321	8.40E-96	205.5	"LysR family transcriptional regulator, glycine cleavage system transcriptional activator"	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"			map02026; ko02026	map02026: Biofilm formation - Escherichia coli; ko02026	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3000	Transcription factors [BR:ko03000]	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"	LysR_substrate	PF03466.26	2.50E-22	79.9	6.00E-22	78.6	LysR substrate binding domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1504	cluster_003976	SVR312F_06020	K13795	no	15.2	0.0062	312.8	citrate/tricarballylate utilization protein	"citB, tcuB; citrate/tricarballylate utilization protein"					9190	Not Included in Pathway or Brite	9191	Unclassified: metabolism	99982	Energy metabolism	"citB, tcuB; citrate/tricarballylate utilization protein"	DUF6159	PF19656.5	5.90E-66	222.8	9.10E-66	222.2	Family of unknown function (DUF6159)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1505	cluster_003881	SVR312F_06035	K16092	no	204.5	3.20E-60	420.1	vitamin B12 transporter	btuB; vitamin B12 transporter					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	btuB; vitamin B12 transporter	TonB_dep_Rec_b-barrel	PF00593.31	1.80E-33	117.6	1.80E-33	117.6	"TonB dependent receptor-like, beta-barrel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1506	cluster_003922	SVR312F_06040	K18164	no	157.9	2.80E-46	210.2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7	NDUFAF7; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7			map04714; ko04714	map04714: Thermogenesis; ko04714	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3029	Mitochondrial biogenesis [BR:ko03029]	NDUFAF7; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7	Methyltransf_28	PF02636.24	9.50E-48	163.4	1.20E-47	163	Putative S-adenosyl-L-methionine-dependent methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1507	cluster_004076	SVR312F_06095	K08968	yes	253.8	1.40E-75	71.13	L-methionine (R)-S-oxide reductase [EC:1.8.4.14]	msrC; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]			map00270; ko00270; map01100; ko01100	map00270: Cysteine and methionine metabolism; ko00270; map01100: Metabolic pathways; ko01100	9100	Metabolism	9105	Amino acid metabolism	ko00270	Cysteine and methionine metabolism	msrC; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]	GAF	PF01590.33	2.30E-10	41.7	2.80E-10	41.4	GAF domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycosyltransferase	cluster_004279	SVR312F_06175	K00754	no	132.2	2.10E-38	264.1	L-malate glycosyltransferase [EC:2.4.1.-]	bshA; L-malate glycosyltransferase [EC:2.4.1.-]					9190	Not Included in Pathway or Brite	9191	Unclassified: metabolism	99980	Enzymes with EC numbers	bshA; L-malate glycosyltransferase [EC:2.4.1.-]	Glyco_transf_4	PF13439.13	1.40E-28	100.6	2.10E-28	100.1	Glycosyltransferase Family 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1510	cluster_003946	SVR312F_06200	K03655	yes	818.8	8.80E-246	404.17	ATP-dependent DNA helicase RecG [EC:5.6.2.4]	recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4]			map03440; ko03440	map03440: Homologous recombination; ko03440	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3400	DNA repair and recombination proteins [BR:ko03400]	recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4]	DEAD	PF00270.36	4.70E-24	85.6	1.60E-23	83.8	DEAD/DEAH box helicase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acylase	cluster_004047	SVR312F_06270	K07116	yes	618	2.00E-185	424.9	acyl-homoserine-lactone acylase [EC:3.5.1.97]	"pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]"					9190	Not Included in Pathway or Brite	9191	Unclassified: metabolism	99980	Enzymes with EC numbers	"pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]"	Penicil_amidase	PF01804.24	6.20E-122	409.4	7.10E-122	409.2	Penicillin amidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1513																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1514																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1515	cluster_004099	SVR37D_09510	K03414	no	17	0.002	82.37	chemotaxis protein CheZ	cheZ; chemotaxis protein CheZ			map02030; ko02030	map02030: Bacterial chemotaxis; ko02030	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2035	Bacterial motility proteins [BR:ko02035]	cheZ; chemotaxis protein CheZ								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1516	cluster_004242	SVR312F_06445	K19725	no	499.5	2.50E-150	-	O-ureido-L-serine/cysteine synthase [EC:2.6.99.3 2.5.1.47]	dcsD; O-ureido-L-serine/cysteine synthase [EC:2.6.99.3 2.5.1.47]	M00785	"M00785: Cycloserine biosynthesis, arginine/serine => cycloserine"	map00998; ko00998; map01100; ko01100; map01110; ko01110	map00998: Biosynthesis of various antibiotics; ko00998; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110	9100	Metabolism	9110	Biosynthesis of other secondary metabolites	ko00998	Biosynthesis of various antibiotics	dcsD; O-ureido-L-serine/cysteine synthase [EC:2.6.99.3 2.5.1.47]	PALP	PF00291.32	4.80E-70	236.8	5.40E-70	236.6	Pyridoxal-phosphate dependent enzyme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spoIIAA	cluster_004031	SVR312F_06515	K20978	yes	120.3	2.80E-35	75.63	HptB-dependent secretion and biofilm anti anti-sigma factor	hsbA; HptB-dependent secretion and biofilm anti anti-sigma factor			map02020; ko02020; map02025; ko02025	map02020: Two-component system; ko02020; map02025: Biofilm formation - Pseudomonas aeruginosa; ko02025	9140	Cellular Processes	9145	Cellular community - prokaryotes	ko02025	Biofilm formation - Pseudomonas aeruginosa	hsbA; HptB-dependent secretion and biofilm anti anti-sigma factor	STAS_2	PF13466.13	2.10E-16	60.5	2.40E-16	60.3	"Mlab, STAS domain"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1518	cluster_003918	SVR312F_06540	K05874	no	593.5	5.00E-178	637.77	"methyl-accepting chemotaxis protein I, serine sensor receptor"	"tsr; methyl-accepting chemotaxis protein I, serine sensor receptor"			map02020; ko02020; map02030; ko02030	map02020: Two-component system; ko02020; map02030: Bacterial chemotaxis; ko02030	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2035	Bacterial motility proteins [BR:ko02035]	"tsr; methyl-accepting chemotaxis protein I, serine sensor receptor"	MCPsignal	PF00015.27	1.00E-56	192.1	1.00E-56	192.1	Methyl-accepting chemotaxis protein (MCP) signalling domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1519																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1520	cluster_004088	SVR312F_06645	K18334	yes	709	2.10E-213	233.57	L-fuconate dehydratase [EC:4.2.1.68]	fucD; L-fuconate dehydratase [EC:4.2.1.68]			map00051; ko00051; map01100; ko01100; map01120; ko01120	map00051: Fructose and mannose metabolism; ko00051; map01100: Metabolic pathways; ko01100; map01120: Microbial metabolism in diverse environments; ko01120	9100	Metabolism	9101	Carbohydrate metabolism	ko00051	Fructose and mannose metabolism	fucD; L-fuconate dehydratase [EC:4.2.1.68]	MR_MLE_C	PF13378.13	1.80E-62	211.5	2.90E-62	210.8	Enolase C-terminal domain-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1521	cluster_004262	SVR312F_06665	K19333	no	169.7	6.10E-50	284.7	"IclR family transcriptional regulator, KDG regulon repressor"	"kdgR; IclR family transcriptional regulator, KDG regulon repressor"					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3000	Transcription factors [BR:ko03000]	"kdgR; IclR family transcriptional regulator, KDG regulon repressor"	IclR_C	PF01614.25	3.00E-19	69.9	4.00E-19	69.5	Bacterial transcriptional regulator IclR C-terminal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1522	cluster_004270	SVR312F_06715	K07004	yes	287.3	1.90E-85	94.7	uncharacterized protein	K07004; uncharacterized protein					9190	Not Included in Pathway or Brite	9194	Poorly characterized	99997	Function unknown	K07004; uncharacterized protein	LTD	PF00932.26	1.30E-12	48.6	1.30E-11	45.4	Lamin Tail Domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1523	cluster_003985	SVR312F_06720	K01259	yes	546.8	3.70E-164	128.57	proline iminopeptidase [EC:3.4.11.5]	pip; proline iminopeptidase [EC:3.4.11.5]			map00330; ko00330; map01100; ko01100	map00330: Arginine and proline metabolism; ko00330; map01100: Metabolic pathways; ko01100	9180	Brite Hierarchies	9181	Protein families: metabolism	1002	Peptidases and inhibitors [BR:ko01002]	pip; proline iminopeptidase [EC:3.4.11.5]	Abhydrolase_1	PF00561.27	6.80E-41	141.1	8.50E-41	140.8	alpha/beta hydrolase fold	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1524	cluster_004027	SVR312F_06760	K01890	yes	700.7	2.40E-210	104.9	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	"FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]"			map00970; ko00970	map00970: Aminoacyl-tRNA biosynthesis; ko00970	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3016	Transfer RNA biogenesis [BR:ko03016]	"FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]"	B3_4	PF03483.23	4.60E-70	235.3	6.80E-70	234.8	B3/4 domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
group_1526	cluster_004141	SVR312F_06870	K16089	no	65.2	3.60E-18	444.87	outer membrane receptor for ferrienterochelin and colicins	"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"	OMP_b-brl_4	PF25183.2	1.00E-45	157.1	4.50E-43	148.3	Outer membrane beta barrel domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
